Date,Open,High,Low,Close,Adj Close,Volume
8/19/2004,50.050049,52.082081,48.028027,50.220219,50.220219,44659000
8/20/2004,50.555557,54.594593,50.300301,54.209209,54.209209,22834300
8/23/2004,55.430431,56.796795,54.579578,54.754753,54.754753,18256100
8/24/2004,55.675674,55.855854,51.836838,52.487488,52.487488,15247300
8/25/2004,52.532532,54.054054,51.991993,53.053055,53.053055,9188600
8/26/2004,52.527527,54.02903,52.382381,54.00901,54.00901,7094800
8/27/2004,54.104103,54.364365,52.8979,53.128128,53.128128,6211700
8/30/2004,52.692692,52.797798,51.056057,51.056057,51.056057,5196700
8/31/2004,51.201202,51.906906,51.13113,51.236237,51.236237,4917800
9/1/2004,51.401402,51.536537,49.884884,50.175175,50.175175,9138200
9/2/2004,49.644646,51.236237,49.51952,50.805805,50.805805,15118600
9/3/2004,50.525524,50.920921,49.709709,50.055054,50.055054,5152400
9/7/2004,50.555557,51.051052,49.854855,50.840839,50.840839,5847500
9/8/2004,50.420422,51.566566,50.300301,51.201202,51.201202,4985600
9/9/2004,51.316315,51.406406,50.550552,51.206207,51.206207,4061700
9/10/2004,50.850849,53.333332,50.700699,52.717716,52.717716,8698800
9/13/2004,53.36837,54.259258,53.283283,53.803802,53.803802,7844100
9/14/2004,53.778778,56.056057,53.448448,55.8008,55.8008,10828900
9/15/2004,55.335335,57.172173,55.155155,56.056057,56.056057,10713000
9/16/2004,56.226227,57.957958,55.880882,57.042042,57.042042,9266300
9/17/2004,57.267269,58.803802,56.831833,58.803802,58.803802,9472500
9/20/2004,58.533535,60.860863,58.443443,59.739738,59.739738,10628700
9/21/2004,59.964966,60.270271,58.813812,58.978977,58.978977,7228700
9/22/2004,58.758759,59.894894,58.463463,59.249249,59.249249,7581200
9/23/2004,59.479481,61.376377,58.568569,60.47047,60.47047,8535600
9/24/2004,60.530529,62.112114,59.939941,59.974976,59.974976,9123400
9/27/2004,59.83984,60.5005,58.958958,59.18919,59.18919,7066100
9/28/2004,60.710712,63.763763,60.165165,63.493492,63.493492,16929000
